Domain,Sub domain,Intent,Answer Format,value,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,y_hat
About company,Current,Funding,HKSTP/ We Venture/ etc,I¡¦d have to see the funders of your business.,-5.6464543,-5.3018785,-4.6895328,-5.2842026,-4.5058174,-5.2064953,-4.943424,-5.054949,-5.1758075,-4.961076,-5.149143,-5.2295923,-5.531371,-5.2466283,-5.532995,-5.3937974,1.2674168,-5.52009,-5.448151,-4.811356,-5.0179567,-5.3793006,-4.815494,-4.421817,-6.1375837,-4.1860414,-5.1942353,-5.266074,-5.3719277,-3.9877727,-4.692423,-4.502988,-4.1305804,-4.5549936,-3.8089461,-4.480549,-4.699858,-5.311941,-4.6698346,-6.048036,-5.2124114,-4.538614,-5.4444733,-5.071413,-6.1471095,-5.3558316,-4.2950697,-4.2115965,-4.354061,-5.144526,-5.2909627,-4.960888,-4.2923346,-4.6214266,-4.8941717,-5.237935,-5.0285115,-5.0189652,-5.306528,-5.7156386,-5.8863516,-5.4653134,-5.815545,-5.1091595,-5.008846,-5.403291,-5.0261273,-5.5026755,-5.1380353,-4.708875,-6.1578407,-5.387417,-4.838068,-5.1134753,16
About Business Component,Filling ,Input_num_of_times,We deduplicate the field required to submit your forms. You only have to fill in your information once for your occassion!,Does I have to fill the same things again?,-4.7831273,-5.9582014,-5.59408,-5.747166,-5.494749,-5.789953,-5.29789,-4.351273,-4.6187353,-4.35452,-5.6938906,-5.4171453,-4.828061,-5.534531,-5.5011034,-5.853274,-5.571396,-5.292688,-5.6245923,-6.1452084,-5.9931664,-4.919441,-2.227039,-5.1901746,-5.262348,-5.6440415,-5.4330306,0.95745873,-4.789391,-5.661173,-4.009353,-5.6906543,-5.2464247,-5.821275,-4.6290917,-6.2145514,-5.402319,-4.6550045,-5.672115,-4.2074814,-6.2104287,-4.836038,-5.190449,-5.620408,-5.412584,-4.6216764,-5.776987,-6.5136166,-5.513165,-4.3825307,-4.319335,-3.4282675,-6.031634,-5.4414606,-5.6808205,-4.791525,-5.5803823,-5.7724047,-6.0058928,-4.9655457,-4.0980744,-3.962734,-4.4193525,-5.491273,-5.1288033,-5.9111896,-4.996005,-5.3723507,-4.460061,-4.956469,-4.9082747,-5.265402,-5.2644424,-6.1086235,27
About Business Component,Post Servicing,Submission_notification,They will send you an confirmation email to you once they has successfully received your application,Is it possible that we will receive any confirmation from the recipient?,-5.6075253,-6.9341173,-5.021383,-5.3932905,-4.5570173,-4.0707684,-4.638735,-3.5750365,-3.7000108,-5.789559,-4.316227,-5.311612,-5.019694,-3.6244261,-5.425126,-5.7303023,-5.496283,-4.4772363,-6.2660294,-5.468011,-4.603071,-4.184535,-4.253505,-5.036877,-4.9605975,-4.6055555,-4.0032763,-4.6956105,-6.3092847,-6.360558,-5.10185,-4.705516,-5.507883,-5.3749757,-5.5952387,-5.6789207,-4.7639003,0.9687985,-5.9201083,-5.275153,-6.772775,-5.2960033,-6.312974,-6.05592,-6.2464824,-3.9578166,-5.5901194,-5.802747,-4.717024,-5.648042,-4.8489966,-6.032122,-5.721782,-4.441551,-5.4948235,-4.165917,-5.315977,-5.485934,-4.7074084,-5.4801803,-4.831078,-4.918721,-4.723906,-5.517931,-5.3649583,-5.914625,-4.1775765,-4.966333,-5.932291,-4.366121,-5.3286505,-5.989169,-5.72727,-5.717481,37
About Business Component,Selection,Multi_selection_companies,You can select multiple companies in one go and we will help you deduplicates the required information to save your time.,Is it possible to select forms for different companies in one go?,-5.5631394,-5.1054873,-5.6181927,-5.425401,-5.488676,-5.9414897,-4.7171416,-5.35741,-5.1441545,-5.2222466,-6.3361244,-5.722461,-5.996333,-5.7235756,-6.591862,-5.8233457,-5.0527883,-6.0401077,-4.886489,-5.47552,-6.3134036,-6.1203747,-4.6547875,-5.4882874,-5.4139953,-5.851605,-5.4068747,-4.265451,-5.2277465,-5.3126426,-5.212785,-5.3253584,-5.0961504,-5.634289,-3.6650965,-5.5583625,-5.4247594,-6.246312,-4.7685595,-4.7693014,-4.62921,-4.1531377,-4.172908,-4.4206567,-4.718546,-5.2408724,-5.026309,-5.175589,-5.896322,-4.620197,-3.9399257,1.1008185,-4.731354,-5.4615555,-4.734451,-5.7732544,-5.210679,-5.584263,-5.763279,-4.5970836,-4.162149,-4.9070473,-4.69105,-5.1568,-4.239639,-5.4158864,-4.94386,-5.408343,-4.5157495,-4.5290685,-5.001794,-5.2679915,-5.2354927,-4.490113,51
About Business Component,Post Servicing,Submission_tracing,We will send a notice to you once the form is submitted. The related parties will also snd an email to your register email to confirm recieving the submission .,Will the Bank Send Me a Confirmation When I Have Received My Documents?,-5.3297253,-5.517268,-4.7208295,-4.5225124,-4.8692317,-4.4573483,-5.8114324,-5.3830833,-5.7218857,-6.3088455,-5.042061,-4.319872,-5.044004,-3.2921216,-5.731238,-4.22729,-6.077583,-4.26841,-4.775358,-3.526295,-4.873147,-4.5801764,-5.170375,-6.4052086,1.0011514,-4.7543516,-4.7179284,-5.543314,-5.4146066,-5.8284035,-5.379189,-4.4119506,-4.895444,-4.006372,-5.042245,-5.3693852,-4.9835844,-5.0457125,-5.0459127,-4.808347,-4.5238614,-5.1244493,-5.2003584,-5.066165,-4.796516,-5.7086716,-5.7200446,-4.752859,-4.832263,-5.0378814,-4.8898826,-5.3398137,-4.3488693,-4.754026,-5.2581706,-5.1767607,-4.924165,-5.5343585,-5.2672124,-4.8927817,-4.7332926,-5.73413,-4.795935,-4.205599,-4.8641305,-4.9529376,-5.4239073,-5.2144017,-5.352611,-5.342252,-4.8417215,-4.4843006,-5.7120314,-5.4166036,24
About Business Component,Account,Recover_loginID,"Go to XXX pages, click ""forget Login ID"" Button and follow its instruction.",How do I get back my login ID?,-5.301077,-3.8262403,-4.9888372,-4.902218,-5.6226087,-5.548257,-4.8957505,-5.786758,-4.8270693,-4.386837,-5.21082,-5.231573,-5.1444564,-5.2436504,-4.69035,-4.4067903,-6.032372,-4.859749,-4.2543473,-5.3054338,-5.3013334,-5.2874975,-5.694153,-4.1670117,-4.9908113,-5.9145117,-5.0544114,-5.359191,-3.8631432,-4.803902,-5.2093763,-5.1170635,-5.249391,-5.2942963,-4.9090943,-4.7395067,-5.485703,-6.1745577,-5.3067837,-5.1310563,-4.679704,-5.4724145,-3.8993235,-4.429665,0.95814246,-5.0334744,-4.03128,-4.4236226,-6.0945005,-4.352405,-5.4060655,-4.4721003,-4.898468,-5.983673,-3.2852614,-5.6851234,-5.4386663,-5.0094504,-5.0612183,-5.11902,-4.600599,-4.757367,-4.8524547,-4.487623,-4.4896317,-5.005074,-4.858639,-4.4036245,-4.042865,-5.632897,-4.0218062,-4.70711,-4.572416,-5.3068514,44
Others,About Conversation,Complaint,"I am so sorry for your situation. Your valuable comments wil be sent to dedicated manager. If possible, may I have your help on descripting the problem through: ""link""",The bowl doesn¡¦t solve my problem,-5.7334943,-6.3240647,-5.1651754,-4.9674535,-4.3033395,-4.487574,-4.5834546,-5.08236,-4.6348367,-4.8273873,-5.8394594,-5.421235,-4.3767176,-6.20829,-6.0317235,-5.5047445,-5.574547,-5.8806586,-4.328116,-5.5385103,-6.4438977,-4.269664,-3.6869211,-4.1738663,-5.4832845,-4.678796,-4.6999593,-5.4145856,-5.7970457,-5.250508,-6.536594,-5.376633,-4.717742,-5.3272133,-5.2766848,-5.77982,-4.9035544,-4.312346,-5.747147,-5.485979,-5.7534866,-5.095661,-5.687358,-5.378714,-5.2661676,-4.357271,-4.7500563,-5.484201,-4.814433,-5.4335623,-4.781736,-4.810201,-4.9963136,-4.701048,-5.5276637,-5.259716,-4.7427735,-3.981345,-4.012698,-5.7684617,-4.6021366,-4.548477,-3.458026,-5.32195,-4.9680624,-4.8981047,0.8608552,-4.6438565,-5.0747294,-3.8805,-4.379971,-6.9236207,-5.7527103,-4.5395093,66
About company,Current,Collaboration,"For our partners powered by Fill Easy and iAMSMART, we always have a prior agreement with them to send our information to them. Fill Easy and our partner have established a secure online channel to pass information between us two.",How are you sharing this information with your partners?,-5.1501656,-5.0398774,-3.8833048,-5.1646113,-3.740207,-4.54652,-5.9553347,-5.0209603,-5.711001,-6.2638855,-4.8018465,-4.9432025,-4.4330783,-4.640711,-4.412576,-4.3740354,-4.4758253,-4.4614253,-4.907245,-3.7275074,-5.2764683,-4.4558425,-5.637695,-4.678124,-4.1531754,-3.9524827,-4.6328406,-6.1103845,-5.638803,-5.2826233,-5.055209,-4.410269,-5.2178354,0.8360017,-5.7239976,-4.9263787,-4.3359113,-5.477585,-4.3564625,-6.5788436,-4.9975333,-5.0292883,-5.358968,-5.9321513,-5.794012,-5.747994,-5.1655865,-4.3345766,-4.3256674,-6.0054417,-4.9287972,-5.751997,-5.6016536,-5.222881,-5.257202,-3.6454926,-5.271979,-4.7906795,-4.8554063,-5.2432137,-6.701859,-6.226001,-4.8661203,-4.681228,-4.988052,-3.8121893,-5.934161,-6.0449405,-5.5804925,-5.2073,-5.042674,-3.9503782,-5.068173,-5.592901,33
About Techology,Form recognizer,Form_recognizer_bad_result,Our Form recognizer only return the 5 most likely matched result from our database. It may indicate that your physical form may not covered by our service currently.,Do there are further results from the formulate recogniser?,-5.1812367,-5.0480185,-5.6220765,-4.938257,-5.2908025,-5.2177315,-4.8655357,-5.280297,-4.2577486,-4.9912925,-5.09255,-5.1607966,-4.9517746,-6.002905,-4.4289308,-5.366879,-6.0374675,-5.7216535,-3.7857912,-5.4716115,-5.1132336,-4.4810987,-4.68869,-4.6307726,-5.202462,-6.0246882,-5.4777393,-4.992281,-4.5064282,-5.5258923,-5.705295,-5.8262267,-5.5466065,-4.6166077,-5.018225,-5.621853,-5.221282,-5.8855915,-5.7564816,-5.245053,-5.298912,-5.786031,-4.399577,-4.9931417,-4.015966,-4.8889685,-4.7974973,-4.397691,-6.398787,-5.0915275,-3.7672696,-4.860339,-6.198133,-6.0545278,-5.0093784,-4.740791,-5.006695,-5.406428,-5.9083004,-3.8283536,-3.5180442,-3.0904138,-3.7644968,-4.609713,-5.365724,-5.4844337,-4.7438912,-4.957463,-4.1397276,-4.4535003,0.90880895,-5.577115,-4.906715,-5.7821617,70
About the team,Our Contact,Contact_method,You may contact us by email at xxxxxx@filleasy.com or mail to our office address: HKSTP xxxxxxx,What Is Your Number?,-5.637976,-4.025864,-5.1208477,-3.8154693,-3.9456513,-4.9742017,-5.2611384,-5.8990917,-6.1002584,-5.909163,-4.1511755,-4.3609195,-5.00751,-4.5316486,-4.6730437,-4.69614,-4.600209,-5.098133,-5.085562,0.60188603,-3.819669,-5.2850676,-5.8129597,-5.500076,-3.5794668,-4.596534,-4.5712805,-6.4919286,-5.95366,-4.5486064,-4.916829,-5.0770755,-5.223899,-3.5462523,-5.582333,-3.6931067,-5.294558,-5.7887883,-4.052525,-5.8515677,-4.3197346,-5.102706,-5.2601275,-4.3270655,-5.417511,-5.6968565,-5.054816,-4.8085966,-4.4972258,-5.341271,-5.4155154,-5.3611703,-4.7711725,-3.717925,-4.5383153,-5.9091177,-4.6284223,-5.9202337,-5.382378,-5.6143336,-6.374314,-6.0324554,-5.334084,-4.435262,-5.043066,-5.557509,-5.76882,-5.185827,-5.911925,-5.124636,-5.243062,-3.996303,-4.8669057,-4.2105803,19
About Techology,AI Techology,AI_summary,"We utilise AI technology in serveal ways to improve your user experiece, and provide highly personalised and value added solution, to reduce your distress toward form.",Is there AI help to your business?,0.88394177,-3.5526564,-4.5044036,-4.8472486,-5.7005987,-5.5979195,-5.098982,-4.4121156,-5.741742,-4.4533877,-4.37637,-4.6136045,-5.054398,-5.815235,-4.1694355,-4.4513736,-5.7080727,-4.628572,-4.801688,-4.9691906,-5.7689004,-4.8259454,-4.4087567,-5.4024196,-5.224487,-5.197671,-5.9523215,-4.6143537,-4.678677,-5.499124,-4.2928543,-5.472412,-5.414636,-5.249167,-5.281029,-4.38868,-4.9782586,-5.6383376,-4.417329,-3.8134751,-5.064611,-4.9840846,-5.147064,-5.482597,-5.6265,-4.9625845,-5.0968423,-4.8174925,-5.541816,-4.3111167,-6.1694736,-6.088806,-4.6568003,-5.4219537,-4.926924,-5.182032,-5.035657,-5.5325184,-4.8038406,-4.4788017,-5.1522117,-4.677683,-5.2753406,-4.989052,-5.3261523,-5.2415943,-5.913201,-5.282022,-4.946023,-5.347383,-5.312118,-4.6038814,-4.4091754,-6.0898147,0
About company,Current,Partner,"iAMSMART, HSBC, insurance etc. coming soon ",And with what companies do you partner with?,-5.1215763,-5.1117096,-5.1305504,-5.708991,-5.330308,-5.599432,-5.6420403,-4.2728715,-6.0008163,-3.9086792,-5.4418125,-5.4055667,-5.658551,-5.3797708,-5.170324,-5.845469,-3.8005297,-5.8393536,-3.8557916,-5.471097,-6.075154,-5.2264943,-5.3526363,-5.0523458,-5.3225064,-4.8936934,-5.360784,-4.457502,-5.294444,-4.272355,-5.289808,-5.783969,-5.006079,-4.964867,0.8662278,-5.8926992,-5.01442,-5.6619196,-5.355926,-5.2142267,-4.2171383,-3.7626226,-3.7881012,-4.63632,-5.336018,-4.747664,-4.6888776,-5.0669527,-5.215832,-4.1340833,-4.2759385,-3.5643473,-5.360039,-5.658841,-5.2071614,-5.936646,-4.40728,-5.3647866,-5.812685,-4.3423233,-4.7646036,-4.999976,-4.920364,-4.9899697,-4.305214,-5.94432,-4.9908023,-5.3860874,-3.9564147,-5.004019,-5.131368,-5.5292883,-4.7598906,-5.052607,34
About Business Component,Filling ,Filling Flow,"Filling all fields under each penal of ""Fill in"" and then press ""finish!"" botton",I don't know how to complete the full in part.,-5.767406,-5.2043366,-5.033901,-4.321484,-4.6195674,-4.012567,-5.3204913,-5.4935446,-5.236282,-5.9770412,-5.742566,-4.157364,-5.2067604,-5.086327,-5.4438605,-5.6468844,-4.2720695,-5.250209,-5.817391,-3.7148907,-4.0253406,-5.5405164,-5.1367846,-5.3865204,-4.7794313,-3.30442,-4.2561927,-5.478888,-5.5032325,-3.8559186,-3.500928,-4.409792,-4.46531,-5.0146017,-5.8067546,-4.1010985,-5.362742,-4.682236,-4.7492557,-5.1881857,-5.052954,-4.2403,-5.655015,-4.921647,-6.2940345,-4.6879234,-5.19708,-4.9748497,-3.8249974,-5.098336,-5.728337,-5.1889544,-4.0101414,0.69895995,-5.715354,-5.7181864,-4.3338685,-4.7195044,-4.8319435,-5.9278026,-6.079937,-5.84449,-5.0720654,-5.298393,-5.4974685,-5.6847095,-4.745697,-4.545253,-5.1979537,-5.0337915,-5.9977627,-4.6405225,-5.9363923,-4.062927,53
About Business Component,Filling ,Required_input,"The input field only show a deduplicated information required on submitting all of your forms. To avoid rejection or further back and forth, we strongly suggest you to fill them all. you can also ask me ""Can I skip inputing sensitive information?"" if you are not comfortable about this.",I want to dismiss the mandatory fields for this time.,-4.1419363,-3.9575725,-4.41108,-3.2771058,-4.433411,-5.535184,-5.508001,-5.9339075,-5.719271,-5.4538145,-4.6150737,-5.655843,-6.06177,-4.6308045,-4.499162,-4.443089,-4.0461664,-4.3228235,-5.098747,-3.2123854,-3.7866666,-5.6317744,-6.1932964,-4.4075565,-5.100051,-5.001308,-5.14551,-5.956113,-3.5911338,-4.677461,-3.9457304,-4.8789935,-4.4667206,-4.833458,-5.9552546,0.5798731,-5.656836,-5.92956,-4.7507467,-4.314523,-4.3876324,-4.8316813,-5.135797,-4.08569,-4.5117583,-5.214243,-3.7865713,-4.244077,-4.7394648,-4.7402124,-5.8959517,-5.6335225,-2.9548166,-4.1459823,-3.8019896,-6.316316,-4.7368417,-5.4271164,-5.3340807,-5.821909,-5.95867,-6.1721406,-4.8437724,-5.3754625,-5.4637947,-5.841295,-5.7563443,-4.611008,-5.1461067,-5.673034,-5.892022,-3.3546808,-4.8100395,-4.4672513,35
About Techology,AI Techology,AI_component,"Currently, we introduced the ""Form Recogniser"" and ""Chatbot"". ""Form Recogniser"" using Computer vision AI as its fondation while ""Chatbot"" are based on Natural Language Processing AI. ",Which portion of your service involves AI?,-3.3503191,0.84350574,-4.8006983,-4.804691,-5.319158,-5.9126873,-5.5177574,-5.741562,-5.777273,-4.6466064,-4.944835,-4.47372,-5.263967,-6.2013474,-3.8772976,-4.102714,-5.5531383,-5.3243427,-5.265417,-3.9777358,-5.699533,-5.2585416,-5.566578,-4.7425575,-5.2111692,-5.3739085,-5.72063,-5.7752643,-4.443736,-4.438886,-5.298776,-5.286527,-6.06533,-4.8536296,-5.121139,-4.2104278,-4.897965,-6.852228,-3.44996,-4.9083023,-3.564451,-4.5820065,-4.0950646,-4.134184,-3.7086673,-5.3491488,-5.122637,-4.2439284,-5.4920607,-4.8861585,-5.5053844,-5.2239666,-4.7125607,-4.8202252,-4.5289173,-5.7575555,-4.840124,-5.168726,-4.9094076,-4.7977986,-5.7301188,-6.001342,-5.158611,-4.2899346,-4.9555626,-5.149046,-6.1114044,-4.5502586,-5.207579,-5.7392316,-5.1312227,-4.111023,-4.8194737,-4.955972,1
About Techology,iAM SMART Integration,iamsmart_summary,iAM Smart is a gov app for authentication. ,How does the eCMV become integrated in your service?,-4.5190887,-3.656863,-3.8315973,-5.541398,-4.9024863,-5.1293573,-5.8074007,-5.588802,-5.8401785,-5.45774,-4.3417697,-5.6216874,-5.373578,-4.634311,0.9518813,-5.7667346,-4.970421,-4.8340387,-5.2209954,-4.666639,-6.0478015,-5.2872972,-5.362814,-4.170582,-5.5235653,-4.582922,-5.4481034,-5.12108,-4.9133267,-5.4088173,-4.535765,-4.872499,-5.213992,-4.570221,-4.7362447,-4.703852,-4.753793,-5.1580253,-4.502219,-4.738435,-4.711147,-5.0656614,-4.076271,-4.947262,-5.0015297,-4.48853,-4.6097665,-4.4491715,-4.7059717,-5.651296,-5.1347384,-6.1717134,-5.779845,-5.479875,-4.9393773,-4.55381,-5.5316706,-5.9210787,-5.1832843,-4.6557474,-5.284193,-5.47764,-5.342012,-5.360142,-5.5210085,-5.974152,-6.218325,-4.828718,-5.240313,-5.0386353,-4.798346,-4.954709,-2.9741237,-5.675868,14
About Techology,Data Security & Privacy,data_security,We store our data in secured cloud and place XXX encrpytion on all information exchange to ensure no exteral parties can be accessed.,Will any other parties have access to my information?,-4.7824063,-5.675154,-5.339123,-5.045014,-5.6815643,-4.625239,-4.6923165,1.0167952,-3.9161184,-4.888844,-4.4271135,-3.682347,-4.2389874,-4.675323,-5.5869765,-4.7667675,-5.1372447,-4.800254,-5.6482506,-5.259899,-5.390098,-4.4246755,-4.3433766,-5.649306,-5.1495976,-5.3561563,-4.901385,-4.3766007,-5.3290176,-5.470376,-4.8643208,-4.6377206,-4.773571,-5.487364,-4.439451,-6.4625716,-4.9479985,-3.6649008,-5.7700906,-5.5333085,-6.3987246,-5.3441243,-6.2844124,-5.949941,-6.13097,-4.96368,-6.138526,-5.3962164,-5.78842,-4.7203703,-4.9286385,-5.351624,-5.9575763,-5.4233456,-5.313392,-4.665748,-5.341182,-5.9922876,-5.2570086,-5.0564547,-4.76771,-4.338525,-5.991836,-5.327268,-5.3714314,-5.649697,-4.9668813,-5.816501,-5.836733,-4.6235714,-5.180608,-5.9128795,-5.2458825,-5.8164134,7
About Business Component,Account,Account_information_saving,We suggest you to save personal information such as DOB/ nationility/ etc. These information are expected to keep duplicating.,What are the fields saved for my profile?,-5.4523315,-5.0211096,-4.788795,-5.0353484,-3.210649,-3.5584033,-6.1097164,-5.799994,-4.419367,-5.0995526,-5.3658495,-4.264687,-4.429282,-5.603216,-5.766555,-4.895536,-4.787256,-5.315266,-5.012546,-5.806257,-5.1641517,-4.014501,-4.9684706,-4.8575134,-5.42854,-4.7217584,-4.517343,-5.6782136,-5.3298125,-5.031226,-5.9086103,-5.225081,-5.229275,-4.7013507,-5.2680845,-5.3539257,-4.1252017,-5.463027,-4.77432,-5.9608817,-5.20231,-4.5548606,-5.7303166,-5.5195627,-4.980944,-5.164583,-4.902297,-5.428457,-4.0808744,-5.8284965,-5.218871,-5.7165494,-4.596167,-4.6978545,-5.9179797,-4.1072125,-4.6748233,0.7595993,-4.139779,-5.5608935,-5.430079,-5.3814325,-5.205963,-4.880438,-4.5781016,-3.982725,-4.0130243,-5.0591354,-5.5656934,-5.517774,-5.1716495,-5.416492,-5.652357,-4.580406,57
About Business Component,Filling ,Input_validation,We use formvalidation to validate your innput currently. We may also incorporate AI such as OCR technology to enhance your user experiece in the future.,How would you know if I have the key on the right information or not?,-4.770137,-4.582227,-4.9996443,-5.343977,-5.5820446,-6.4604244,-4.08583,-4.5375767,-5.0061946,0.9913209,-5.1502686,-5.5751624,-5.1217265,-6.1185765,-5.3559914,-5.1499505,-4.8867955,-5.530887,-4.8599253,-5.8666687,-5.394992,-4.686339,-3.6163,-5.0901713,-6.2690396,-5.981168,-5.652241,-4.128814,-4.2617617,-4.2687364,-5.553672,-5.7581325,-5.5608463,-5.9339433,-4.27835,-5.843132,-4.589864,-5.9667134,-5.6349792,-4.810492,-5.1829515,-5.500963,-5.484524,-4.2324157,-4.6203938,-4.525505,-5.1212015,-5.1063943,-6.039499,-3.8974788,-4.457544,-5.5208254,-4.9056325,-5.934533,-4.3501644,-5.522253,-4.6872764,-5.0099535,-5.7274237,-5.255758,-4.97721,-4.856019,-5.445506,-5.3989816,-5.1681046,-6.326121,-5.0917645,-4.7299743,-4.670068,-4.811299,-5.0519557,-5.6358414,-4.4680495,-5.077953,9
About Business Component,Post Servicing,Submission_tracing,We will send a notice to you once the form is submitted. The related parties will also snd an email to your register email to confirm recieving the submission .,Tell me how I can ensure that forms submission is successful.,-5.2984853,-5.486737,-4.6999393,-4.570642,-4.85775,-4.4886384,-5.783713,-5.4261856,-5.725245,-6.282627,-5.094361,-4.364013,-5.0783887,-3.2404768,-5.7223883,-4.192003,-6.0859756,-4.240819,-4.750485,-3.6382978,-4.9460874,-4.560126,-5.139448,-6.3545055,1.026664,-4.729791,-4.6986933,-5.4751854,-5.38628,-5.838366,-5.357008,-4.405295,-4.9005494,-3.978923,-5.015595,-5.368066,-4.9588165,-5.051924,-4.9860883,-4.765014,-4.4779654,-5.0362616,-5.1514425,-5.06477,-4.806759,-5.663645,-5.686913,-4.737282,-4.792474,-5.0433574,-4.837437,-5.2946005,-4.33848,-4.765332,-5.2799897,-5.1221547,-4.892537,-5.46936,-5.229925,-4.8405094,-4.7200317,-5.7419524,-4.7594223,-4.2039857,-4.82143,-4.906126,-5.4398527,-5.207128,-5.342146,-5.3405967,-4.8606,-4.451872,-5.687553,-5.3920655,24
About Business Component,Post Servicing,Submission_time_taken,It normally takes 5-10 days depends on the targeted company. Please noteed that the target company will send you an confirmation email once they offically received your submission. ,How many days will take to handle my shape?,-5.5663843,-5.7246585,-5.1024833,-5.291266,-4.205836,-3.4718788,-4.958824,-4.977162,-4.1835623,-5.78542,-5.2041135,-5.203987,-4.4586496,-4.593594,-5.0646663,-5.4445024,-5.5137477,-4.7926283,-5.0295715,-4.7050033,-4.4510155,-5.505521,-4.4880733,-5.1081634,-4.688584,-4.651729,0.8122466,-5.2358184,-5.995983,-5.0825353,-5.045027,-4.9472017,-5.232849,-4.986135,-5.8909163,-5.145783,-4.983809,-3.9482095,-5.1851563,-5.642914,-5.202916,-4.804226,-5.9539967,-6.101452,-5.7791615,-3.9974654,-5.491666,-5.587748,-3.705904,-5.3850183,-5.0903034,-5.3746457,-5.2723923,-3.9116397,-5.4622083,-4.0121403,-5.1996164,-4.0507298,-4.7152843,-5.705381,-5.031198,-5.904098,-4.7605786,-5.1083937,-5.118281,-5.4474177,-4.4360337,-5.3990617,-5.8989234,-4.631003,-5.298632,-5.3168707,-5.190999,-4.9466376,26
About Business Component,Account,Account_register,"Click on XXX button, follow the instruction on filling account id & password ",How can I open an account on FillEasy?,-5.532064,-5.579368,-4.404004,-4.9127684,-4.056545,0.8851306,-6.13063,-4.532083,-4.909014,-6.7656903,-4.864717,-4.247105,-4.563379,-4.058025,-4.834112,-4.479117,-5.459052,-4.8852224,-5.2973475,-4.6923847,-4.494201,-4.6587677,-5.8837156,-5.09882,-3.9743848,-4.2315593,-3.8644483,-6.0505986,-5.7963967,-6.074205,-5.455215,-3.9357402,-4.0150166,-4.506652,-5.60511,-5.3192034,-4.4008284,-4.17057,-5.531844,-4.9019227,-5.0311427,-5.2431,-5.47081,-5.8568482,-5.2966876,-5.748521,-5.803147,-5.0111513,-3.7043428,-5.652138,-5.556127,-5.6489496,-5.407442,-4.2690353,-4.839791,-3.3827531,-4.7880883,-3.8871772,-4.2059493,-5.554309,-5.503305,-5.5496926,-4.7830153,-5.0429716,-4.898093,-4.1309896,-4.0510163,-5.66587,-5.915685,-4.708977,-5.14303,-5.512922,-5.696642,-5.138886,5
About Business Component,Signing,Action_to_sign,Please review the input correctness of the downloaded form before signing the form.,"We downloaded the form, now what, and what?",-4.2101526,-4.8730626,-4.5965614,-3.7560368,-5.4594607,-5.9577065,-4.714949,-5.0427856,-3.971371,-4.1759977,-4.958997,-5.253972,-5.25162,-5.323445,-4.922623,-3.59822,-5.5262194,-4.1632366,-5.157227,-5.6382804,-4.7391405,-5.1307907,-4.7516627,-3.973612,-5.1466646,-6.362924,-5.906716,-4.407466,0.66278577,-5.2907763,-4.9905715,-5.681455,-4.2794523,-5.3772516,-5.870183,-3.8760355,-5.632094,-5.718098,-6.045513,-3.8820868,-5.4234076,-5.43481,-4.9054966,-4.627918,-3.9363406,-4.937542,-5.1310244,-4.369984,-6.024881,-5.092953,-5.6562076,-5.25849,-4.9559555,-5.937743,-5.0896053,-5.4888687,-5.17593,-5.489372,-6.1936917,-5.095474,-4.9607058,-5.0833817,-4.859791,-4.9308066,-5.4720855,-5.758412,-5.661588,-4.318634,-4.3748226,-4.680423,-4.178541,-4.915325,-4.6280437,-6.113763,28
About Business Component,Signing,Signing_alternative,"Currently, we do not support identity verfication for non iAMSMART users. We do hope you get iAMSMART soon, or enjoy our non-iAMSMART service",Can I confirm my identity without the e-mail?,-4.9844623,-5.4896245,-4.4709163,-6.0539336,-5.2323375,-5.0859704,-4.654346,-4.7214603,-5.2486067,-4.8573794,-4.7834053,-6.132482,-5.7446837,-4.924797,-4.273755,-6.2236805,-5.5995817,-4.8863087,-4.599459,-5.784297,-5.9349866,-4.768355,-4.3308496,-4.788919,-5.762801,-4.8594227,-4.031131,-4.756174,-5.0449815,-4.882646,-5.5823736,-5.8010454,-5.5398555,-5.999548,-5.0169234,-5.549564,-5.137294,-4.028031,-5.371844,-5.1245375,-5.0824704,-4.724143,-4.93285,-5.6093626,-5.4239397,1.1730642,-3.8888853,-5.6792517,-4.704281,-5.7114563,-5.5308547,-5.7336187,-5.441394,-4.778993,-5.772489,-4.825975,-4.462242,-4.91892,-5.0618763,-4.8977566,-4.439664,-4.750823,-4.63284,-5.2286215,-5.0696273,-5.604731,-4.56405,-4.583798,-4.6021686,-3.9090705,-4.6865735,-5.534318,-4.645881,-4.8356123,45
